mean,st_dev,conf95_lo,conf95_hi
2.237763225880324,0.7196567338091371,2.168690681048422,2.306835770712226
7.38510889697664,7.8677906221903635,6.623540424770788,8.146677369182493
10.20082343700192,8.267217027531137,9.395667651171967,11.005979222831872
5.9302956584071795,5.457711714359136,5.394107588535364,6.466483728278996
5.552429754570408,4.620431219421448,5.066983696703188,6.03787581243763
16.526140598453992,8.877939215948343,15.652837492248478,17.399443704659507
20.492818283774813,6.561985912973913,19.838197586435626,21.147438981114
22.27283877050143,4.634821829252451,21.818634577496685,22.727042963506175
21.723391226129095,5.837925429345623,21.164406909921244,22.28237554233695
22.389470387733738,4.99137281583298,21.910972572088074,22.867968203379398
21.655446744720198,6.462879929004253,21.05088325188562,22.260010237554773
